level_0,level_1,correlation
A130201,A130302,0.9824539077937718
F110801,A130202,0.9824244588146704
F110702,F110802,0.9824106666158473
A1419,F110702,0.982250512825338
A1302,F110801,0.9822037371975704
A141902,A130201,0.9821812461893837
A7101,F110802,0.9819674335600853
A710101,F110802,0.9819530588784724
A130302,A1402,0.9817826654128037
A1303,A1401,0.9817418529268546
A141901,A1402,0.9816762086017534
A8301,A110102,0.9816204237992631
A130201,E9106,0.9816170656927818
F110801,A1401,0.9814718700831484
A8201,A130202,0.9814425742267006
A1419,A1402,0.9813848716416416
F110702,C120120,0.9813651675862602
A130202,C120110,0.98130035414314
F110801,A130201,0.9811779718974741
A810105,A8301,0.9810751751817423
A8201,C120120,0.9809563468747564
A1419,A8301,0.9809445380420769
I5101,I5211,0.9808562916346081
F1108,F110702,0.9808373452953306
A1302,E9106,0.9807203822608658
F110702,A811102,0.9807033415314486
F2221,C120110,0.9806952009959949
A8301,A130302,0.9804441457021288
A7101,F1108,0.9804283872821601
A710101,F1108,0.9804061801308416
A130302,A1401,0.9803686336609828
A141901,A1401,0.9802446670526255
A1302,A8201,0.9801384552008413
A141902,A1402,0.9801174218835628
A1419,A1401,0.9800377382989489
A8301,F110701,0.979976254865693
F2201,F1301,0.9799305970762864
A8301,A110202,0.9797656147196464
A110101,C120110,0.9795538593430997
A1101,A8301,0.979501510570848
A1303,A8301,0.9793700446882845
A8301,A130202,0.9792518987014637
A8301,A710201,0.9792516315651948
A8201,A1402,0.9792348923780054
A130202,E9106,0.9790154639269443
A141902,A1401,0.9788264576931487
A110201,C120110,0.9788037861984626
A810102,E9106,0.9787683243287109
F110702,F110201,0.9786115605088773
A710201,C120110,0.9784446359225845
A810105,A130202,0.9783555536735249
A1401,C120110,0.9782530576779573
A7101,C120110,0.9782303726130683
A710101,C120110,0.9781881217795648
A130201,A8201,0.9780334662150293
A1402,C120110,0.977929900669084
A141901,F110702,0.9778834060499468
A7101,A8201,0.9777430523970617
A710101,A8201,0.9777127182857723
A1101,C120110,0.9776778427965744
A8301,A1102,0.9776331638791999
A810102,C120110,0.9774301933481714
A110101,E9106,0.9774214658467877
A8201,A1401,0.9773430615837626
F110201,C120110,0.9772491088681433
A8301,A130301,0.9772438820629572
A110201,E9106,0.9772406258722358
F110801,F110702,0.9771336246134479
F110201,E9106,0.977109618083162
A810105,F110702,0.9771089435751175
A1402,E9106,0.977071273636655
