feature,reference_year,official_item_name_raw,source_dataset,ssdse_version,ssdse_item_code,raw_or_derived,temporal_safe,source_url
D320311,2022,災害復旧費（市町村財政）,SSDSE-A-2026,2026,D320311,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E1101,2024,幼稚園数,SSDSE-A-2026,2026,E1101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E1501,2024,幼稚園在園者数,SSDSE-A-2026,2026,E1501,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E2101,2024,小学校数,SSDSE-A-2026,2026,E2101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E2401,2024,小学校教員数,SSDSE-A-2026,2026,E2401,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E2501,2024,小学校児童数,SSDSE-A-2026,2026,E2501,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3101,2024,中学校数,SSDSE-A-2026,2026,E3101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3401,2024,中学校教員数,SSDSE-A-2026,2026,E3401,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3501,2024,中学校生徒数,SSDSE-A-2026,2026,E3501,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3901,2024,義務教育学校数,SSDSE-A-2026,2026,E3901,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3904,2024,義務教育学校教員数,SSDSE-A-2026,2026,E3904,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3905,2024,義務教育学校前期課程児童数,SSDSE-A-2026,2026,E3905,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E3906,2024,義務教育学校後期課程生徒数,SSDSE-A-2026,2026,E3906,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E4101,2024,高等学校数,SSDSE-A-2026,2026,E4101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
E4501,2024,高等学校生徒数,SSDSE-A-2026,2026,E4501,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1102,2020,就業者数,SSDSE-A-2026,2026,F1102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110201,2020,就業者数（男）,SSDSE-A-2026,2026,F110201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110202,2020,就業者数（女）,SSDSE-A-2026,2026,F110202,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1107,2020,完全失業者数,SSDSE-A-2026,2026,F1107,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110701,2020,完全失業者数（男）,SSDSE-A-2026,2026,F110701,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110702,2020,完全失業者数（女）,SSDSE-A-2026,2026,F110702,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F1108,2020,非労働力人口,SSDSE-A-2026,2026,F1108,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110801,2020,非労働力人口（男）,SSDSE-A-2026,2026,F110801,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F110802,2020,非労働力人口（女）,SSDSE-A-2026,2026,F110802,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F2201,2020,第1次産業就業者数,SSDSE-A-2026,2026,F2201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F2211,2020,第2次産業就業者数,SSDSE-A-2026,2026,F2211,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
F2221,2020,第3次産業就業者数,SSDSE-A-2026,2026,F2221,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
G1201,2021,公民館数,SSDSE-A-2026,2026,G1201,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
G1401,2021,図書館数,SSDSE-A-2026,2026,G1401,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
H5507,2023,総人口（非水洗化人口＋水洗化人口）,SSDSE-A-2026,2026,H5507,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
