code_a,code_b,feature_distance,rail_share_gap_pp
21362,21505,1.1481605368662464,7.552809417870254
01544,33663,1.0928932606739121,7.514761137949543
21212,23215,1.125794886018395,7.470110881615937
08219,11231,1.0782868999074746,7.417137336058499
05211,29442,1.1276440232790343,7.3871250875497605
08341,42308,1.0387718981154679,7.366561816510774
34302,40223,1.0121418704974743,7.308223536085924
22220,25210,0.923809135288097,7.256815235231084
06205,22225,1.1229725746586505,7.205945237073795
04362,09343,1.0440405555241987,7.190543102440328
03203,25212,1.0412544660317349,7.167621467904772
13215,13219,0.7626879254388328,7.130093019978617
08222,24208,1.0309448152706586,7.111604473199437
08341,36402,1.0051322756803913,7.0039411616454705
13227,27221,0.9724580111847124,6.983095449398532
07303,09343,0.7484764435803537,6.979570717304464
21303,41341,0.973276720823474,6.972831839963321
42307,42308,0.9949463160365812,6.943409919674666
17211,23361,1.0201458012351887,6.939432114370287
18210,25204,0.8686347207695004,6.902893945650758
02402,30341,1.037450424211522,6.879728804404943
17210,25204,1.025339485395345,6.780994396890025
13220,27208,1.1502771540047592,6.7750633064311945
12229,40211,0.9051353456594321,6.699186860972476
28216,40213,1.1455583864247423,6.696468940919124
24341,25210,0.8902276428993535,6.687694251237791
11235,11245,1.0622736372182737,6.680706374121642
14216,27213,0.925595729722667,6.625651465030652
13206,13208,1.0313181965219205,6.564633710857571
22225,31204,1.0852512624037924,6.49356067162988
11363,20481,1.1171801235663148,6.46419194867895
21302,21421,1.0371409234174767,6.35206717818758
08341,40223,1.0350177349507188,6.339343825081068
11233,12239,0.9492759334350714,6.338673877689896
04361,09211,1.1618358133909616,6.333194045661797
11235,13207,1.0440953684597631,6.309329652522355
04211,11301,0.7893056595031418,6.283270250209948
26209,27208,0.7520214453323981,6.274194951221057
23302,23442,1.1606292592791196,6.262772315452373
11209,12210,0.9993358515254609,6.248323060159964
04203,11233,1.1211170304402553,6.238540665112594
21209,23237,1.0810587611015785,6.1936527355447355
03482,04362,0.7932710080644114,6.185881037738081
04505,36405,1.1582121983613916,6.1711927644041955
30341,43433,1.1489389810294368,6.1103618970000975
05349,20452,1.1413093676667658,6.089641264521259
08219,13228,1.0180875794384625,6.03304023401095
22225,36203,0.9860364569439335,6.030098600280459
27207,27210,1.053511382313976,5.951104937486448
27225,27226,0.6876388383521277,5.950742166025291
23442,24341,0.9681673854848912,5.894152921028293
08223,11408,0.6652167615511299,5.887261636927854
26204,27202,0.8477964061835344,5.780425770645819
20541,31372,1.0861094421016417,5.777103524571131
07422,20541,1.1239589313125087,5.762211892356398
10522,21383,1.0134036442726257,5.731276752290787
12463,32501,1.1067974458897,5.711152210932301
11209,27222,0.9858166689100419,5.700014879532741
